account_external_ref,external_id,client_id,total_income,total_spend,total_txn_count,gambling_spend,gambling_txn_count,gambling_days,gambling_pct_of_income,gambling_txn_pct,gambling_pct_of_spend,gambling_day_bucket,risk_score,risk_bucket,risk_reason
8F92F65A7D4C71647E5BA00132BD0772,8F92F65A7D4C71647E5BA00132BD0772,1A228159-F29D-42EC-9523-3A236EEBD9B8,294.57,-286.0,20,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
e6ceb6f5-e90e-4053-8739-71f54dbdb813,e6ceb6f5-e90e-4053-8739-71f54dbdb813,63e6ecc8-3240-46a6-b279-006808cb4da0,215.71,-215.71,17,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
B5CD97484A2A21E516D4F56F3C6AC7E6,B5CD97484A2A21E516D4F56F3C6AC7E6,366f68ee-ee8e-43c7-b0cf-7fbcf628f82d,216.36,-216.17,22,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
49094785,49094785,58D6D2A4-A60B-431F-A1D8-7D20DBC75BBF,27399.46,-27599.72,466,0.0,0,0,0.0,0.0,0.0,"[0, 5)",1,🟢 Mild,High transaction count (>200)
cedd3194-6f5d-390e-9a85-5428394e1f57,cedd3194-6f5d-390e-9a85-5428394e1f57,9299B792-BF9C-4C23-857E-A9D034906AD0,0.0,-427.19,6,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Ignored: very low transaction count (<10)
4ade0ad8-0e5d-3a56-894e-9a1fc4f250a2,4ade0ad8-0e5d-3a56-894e-9a1fc4f250a2,437dba0b-7dbb-4e24-8297-af27c478d919,2663.65,-2286.25,34,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
nmI1eaWzx-N8G4AQnoVnMTy3edKsJR8S8kamSON9,nmI1eaWzx-N8G4AQnoVnMTy3edKsJR8S8kamSON9,0c98cea0-af03-4b1b-8eba-6551683a8976,2534.07,-2470.02,30,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
73f865ec-7e40-437a-9678-b6ce4b49579b,73f865ec-7e40-437a-9678-b6ce4b49579b,C52DC28B-E3B1-42F7-A56B-9C99367D2504,0.0,-753.27,43,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
EF8828430A6AE4870AF0355118C43EF3,EF8828430A6AE4870AF0355118C43EF3,addae35b-51ba-48e4-83ae-59cdc38d416d,130.0,-130.0,12,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,Low transaction count (<20)
7f8ebb0d-7eda-3677-9118-003955e8fc24,7f8ebb0d-7eda-3677-9118-003955e8fc24,A5E42062-9D21-4550-AECA-C5F9003E138A,0.0,-658.26,41,0.0,0,0,0.0,0.0,0.0,"[0, 5)",0,🟢 Low Risk,No concerning indicators
